Date,Open,High,Low,Close,Volume
2009-08-02,38.29,40.05,38.09,39.76,5306877.0
2009-07-26,39.81,40.44,39.74,39.9,3455849.0
2009-07-19,38.4,38.94,38.11,38.64,3814665.0
2009-07-12,34.81,35.58,34.58,35.14,4228146.0
2009-07-05,38.3,38.47,37.72,38.31,0.0
2009-06-28,40.25,40.26,39.13,39.2,5542752.0
2009-06-21,37.71,38.68,37.56,38.39,8648038.0
2009-06-14,39.99,40.18,39.28,39.54,8795878.0
2009-06-07,42.25,43.25,40.82,41.33,10247242.0
2009-05-31,44.45,45.0,43.7,44.16,13003908.0
2009-05-24,41.92,42.72,41.75,42.05,9204962.0
2009-05-17,38.13,38.77,37.12,37.65,7718999.0
2009-05-10,36.56,37.85,36.46,37.46,6460752.0
2009-05-03,33.0,33.46,32.68,33.04,2971102.0
2009-04-26,33.36,34.86,33.33,34.65,8218952.0
2009-04-19,31.95,32.0,30.8,30.97,9359839.0
2009-04-12,33.45,33.77,33.0,33.04,0.0
2009-04-05,36.8,37.05,34.25,34.87,10505125.0
2009-03-29,37.51,37.6,36.59,37.0,4935296.0
2009-03-22,36.8,37.71,36.45,37.55,12588052.0
2009-03-15,33.19,33.31,32.38,33.08,5890033.0
2009-03-08,33.53,34.03,32.32,32.88,10024581.0
2009-03-01,33.92,34.23,32.52,33.36,10806540.0
2009-02-22,36.73,37.64,36.05,37.03,19550620.0
2009-02-15,36.0,36.2,35.28,35.68,6690243.0
2009-02-08,34.42,35.55,34.14,35.42,9257808.0
2009-02-01,35.54,35.55,33.51,34.23,11641509.0
2009-01-25,32.27,34.67,32.23,34.14,12222362.0
2009-01-18,30.63,31.01,29.44,30.93,9830371.0
2009-01-11,31.59,32.11,30.45,31.31,4483966.0
2009-01-04,33.51,34.45,33.18,33.32,4848615.0
2008-12-28,30.96,32.52,30.18,32.25,2963231.0
2008-12-21,29.22,30.62,28.96,30.58,9192229.0
2008-12-14,27.52,29.16,27.14,28.67,7272990.0
2008-12-07,22.89,23.42,21.2,23.23,7253192.0
2008-11-30,26.33,26.71,25.52,26.57,2685538.0
2008-11-23,20.25,23.14,19.67,23.03,8974651.0
2008-11-16,21.84,22.63,20.46,20.55,6590743.0
2008-11-09,21.73,22.83,21.21,21.75,6264100.0
2008-11-02,21.38,21.88,20.78,20.95,4115400.0
2008-10-26,15.84,18.69,15.83,17.8,8423700.0
2008-10-19,21.37,24.21,20.97,21.69,6336100.0
2008-10-12,30.06,30.73,24.68,26.34,11118300.0
2008-10-05,28.75,30.94,28.54,29.05,5102400.0
2008-09-28,36.92,37.82,35.24,35.83,4152600.0
2008-09-21,33.81,35.41,32.9,35.2,6369200.0
2008-09-14,29.7,31.69,29.0,31.25,9921000.0
2008-09-07,32.97,33.3,31.65,32.65,4909900.0
2008-08-31,38.22,38.22,37.35,37.55,1672300.0
2008-08-24,37.89,38.04,36.89,37.5,2710100.0
2008-08-17,35.0,35.22,34.26,34.59,6493500.0
2008-08-10,38.0,38.0,36.28,36.45,5408600.0
2008-08-03,43.2,44.06,42.0,42.36,3869900.0
2008-07-27,44.32,44.71,43.34,44.3,2444900.0
2008-07-20,47.33,48.11,47.07,47.52,1322500.0
2008-07-13,47.96,49.09,47.96,48.71,4006700.0
2008-07-06,47.84,47.84,46.43,47.43,1653800.0
2008-06-29,47.08,48.7,47.04,48.47,3340700.0
2008-06-22,44.05,44.57,43.47,43.87,2456600.0
2008-06-15,42.86,43.26,42.72,43.01,1169900.0
2008-06-08,46.19,47.25,46.19,46.69,1882700.0
2008-06-01,45.59,46.14,45.55,46.04,1099300.0
2008-05-25,48.44,48.83,47.75,47.75,1627000.0
2008-05-18,47.0,47.54,46.85,47.4,3486100.0
2008-05-11,46.44,46.59,45.0,46.1,2394500.0
2008-05-04,42.71,43.58,42.66,43.18,1720900.0
2008-04-27,44.83,45.33,44.38,44.85,2245100.0
2008-04-20,49.5,49.7,48.82,49.37,2796500.0
2008-04-13,49.09,49.22,48.08,48.29,1553200.0
2008-04-06,48.5,49.12,48.47,48.95,1870600.0
2008-03-30,48.97,49.17,48.01,49.08,1729400.0
2008-03-23,47.55,48.1,46.07,47.69,5951900.0
2008-03-16,55.89,56.87,55.19,56.25,4162400.0
2008-03-09,54.92,54.92,52.82,53.45,4200700.0
2008-03-02,54.0,54.12,52.64,53.12,5451300.0
2008-02-24,51.19,51.19,49.49,50.88,5107900.0
2008-02-17,47.48,48.08,46.76,47.75,4132400.0
2008-02-10,47.06,48.68,47.0,48.54,4583400.0
2008-02-03,50.54,50.93,48.89,49.15,3294300.0
2008-01-27,50.93,51.96,50.25,50.42,1933400.0
2008-01-20,48.47,48.95,46.47,48.34,3664200.0
2008-01-13,52.0,53.2,51.8,52.42,3729700.0
2008-01-06,50.28,50.35,49.28,49.9,2358600.0
2007-12-30,45.77,46.74,45.77,46.63,1429900.0
2007-12-23,43.99,45.41,43.64,45.0,3604700.0
2007-12-16,44.56,45.04,44.15,44.31,2332800.0
2007-12-09,47.0,47.0,45.93,46.4,1395400.0
2007-12-02,47.09,47.5,45.7,46.36,2001100.0
2007-11-25,48.0,48.85,47.35,48.85,1140200.0
2007-11-18,46.88,47.19,46.15,46.95,2123400.0
2007-11-11,51.25,51.26,50.01,50.31,1810000.0
2007-11-04,49.69,50.74,48.9,50.71,3194000.0
2007-10-28,48.23,48.66,47.9,48.4,1929200.0
2007-10-21,47.65,47.65,46.3,46.8,2276300.0
2007-10-14,47.29,47.8,46.96,47.79,1455900.0
2007-10-07,44.23,45.59,44.19,45.59,2210100.0
2007-09-30,45.25,45.81,44.98,45.35,1847200.0
2007-09-23,45.95,45.96,45.0,45.48,2419100.0
2007-09-16,42.02,42.72,41.61,42.17,2380600.0
2007-09-09,41.59,41.75,40.68,41.17,2825500.0
2007-09-02,37.59,37.75,37.1,37.65,1611200.0
2007-08-26,36.49,37.38,36.42,37.13,1088300.0
2007-08-19,35.51,36.45,34.81,35.22,2965200.0
2007-08-12,39.0,40.1,38.8,39.85,1755500.0
2007-08-05,39.79,40.12,39.33,39.48,1740300.0
2007-07-29,40.03,40.23,39.02,39.02,1747600.0
2007-07-22,43.11,43.25,42.66,43.04,1190400.0
2007-07-15,41.34,41.62,41.21,41.31,582400.0
